代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sh601228,广州港,36.8,2.07,0.79,8.41,7.14,6.28,266.31
sz002013,中航机电,29.98,2.83,0.34,9.87,8.64,8.22,264.51
sz000990,诚志股份,32.13,1.63,0.71,4.88,4.51,4.75,263.38
sh600808,马钢股份,5.7,0.93,6.3,5.26,5.19,16.01,262.59
sz000987,越秀金控,43.15,1.59,0.94,13.38,7.5,4.88,262.35
sh603866,桃李面包,39.85,7.37,2.02,27.59,24.6,21.5,261.11
sz300017,网宿科技,37.37,3,0.28,25.06,23.67,14.03,260.55
sz002926,华西证券,25.26,1.38,0.38,11.88,13.39,9.33,260.4
sz000415,渤海租赁,8.67,0.71,1.43,2.43,9.18,7.65,260.37
sz002508,老板电器,17.44,4.08,2.74,24.2,29.22,30.48,260.13
sz000883,湖北能源,17.29,0.97,2.51,5.98,8.57,8.06,259
sh601860,紫金银行,0,0,0,13.45,13.55,12.68,258.46
sh600256,广汇能源,15.55,1.66,1.32,16.67,7.77,6.73,258.17
sz000630,铜陵有色,32.81,1.43,0.82,8.93,1.23,2.85,257.9
sh601100,恒立液压,25.6,5.29,0.75,24.8,7.37,10.78,257.54
sz300070,碧水源,21.94,1.36,1.1,21.47,13.62,11.49,257.4
sh600604,市北高新,103.73,4.19,0.09,-1.23,3.67,3.99,256.64
sz300529,健帆生物,58.07,13.99,0.57,34.59,30.7,24.2,256.45
sh601872,招商轮船,18.23,1.26,0.83,7.42,6.84,7.4,255.4
sh600763,通策医疗,69.89,18.1,0.04,2.71,21.11,23.41,255.23
sh600153,建发股份,5.63,0.91,2.22,17.56,15.59,15.73,254.88
sh601233,桐昆股份,11.87,1.53,1,14.73,9.13,14.1,253.98
sh603515,欧普照明,27.75,5.67,1.19,28.53,22.05,21.51,253.96
sz300024,机器人,55.34,4.06,0.31,14.51,11.52,7.47,252.29
sz002372,伟星新材,25.19,6.66,3.12,24,24.87,27.93,252.09
sh600985,淮北矿业,5.67,1.45,1.03,10.32,12.08,13.31,252
sz300676,华大基因,65.34,5.91,0.8,23.29,8.56,10.1,250.98
sz002010,传化智联,28.48,2.04,0.65,16.78,8.89,5.76,250.53
sh600038,中直股份,48.11,3.2,0.55,7.97,6.45,6.62,249.41
sz002049,紫光国微,67.79,6.44,0.12,12.54,10.71,9.68,249.22
sz300773,拉卡拉,0,0,0,22.73,22.73,22.73,249.21
sh600026,中远海能,40.25,0.89,0.81,10.73,3.73,4.43,248.78
sh600673,东阳光,17.51,3.51,0,6.73,8.26,11.23,247.74
sz000513,丽珠集团,21.96,2.25,5.81,14.95,21.39,25.6,247.64
